"time(s)","Remaining (Total)","Exited (Total)","Floor 0.0 m->Door02","Floor 0.0 m->Door02 width(m)","Floor 0.0 m->Door02 total boundary(m)","Floor 0.0 m->Door02 [+X]","Floor 0.0 m->Door02 [-X]","Floor 0.0 m->Door04","Floor 0.0 m->Door04 width(m)","Floor 0.0 m->Door04 total boundary(m)","Floor 0.0 m->Door05","Floor 0.0 m->Door05 width(m)","Floor 0.0 m->Door05 total boundary(m)","Floor 3.0 m->Door01","Floor 3.0 m->Door01 width(m)","Floor 3.0 m->Door01 total boundary(m)","Floor 3.0 m->Door01 [+X]","Floor 3.0 m->Door01 [-X]","Floor 6.0 m->Door00","Floor 6.0 m->Door00 width(m)","Floor 6.0 m->Door00 total boundary(m)","Floor 6.0 m->Door00 [+X]","Floor 6.0 m->Door00 [-X]","Stair05 door 1","Stair05 door 1 width(m)","Stair05 door 1 total boundary(m)","Stair05 door 1 [+Y]","Stair05 door 1 [-Y]","Stair05 door 2","Stair05 door 2 width(m)","Stair05 door 2 total boundary(m)","Stair05 door 2 [+Y]","Stair05 door 2 [-Y]","Stair06 door 1","Stair06 door 1 width(m)","Stair06 door 1 total boundary(m)","Stair06 door 1 [+Y]","Stair06 door 1 [-Y]","Stair06 door 2","Stair06 door 2 width(m)","Stair06 door 2 total boundary(m)","Stair06 door 2 [+Y]","Stair06 door 2 [-Y]","Stair07 door 1","Stair07 door 1 width(m)","Stair07 door 1 total boundary(m)","Stair07 door 1 [+Y]","Stair07 door 1 [-Y]","Stair07 door 2","Stair07 door 2 width(m)","Stair07 door 2 total boundary(m)","Stair07 door 2 [+Y]","Stair07 door 2 [-Y]","Stair08 door 1","Stair08 door 1 width(m)","Stair08 door 1 total boundary(m)","Stair08 door 1 [+Y]","Stair08 door 1 [-Y]","Stair08 door 2","Stair08 door 2 width(m)","Stair08 door 2 total boundary(m)","Stair08 door 2 [+Y]","Stair08 door 2 [-Y]","Stair10 door 1","Stair10 door 1 width(m)","Stair10 door 1 total boundary(m)","Stair10 door 1 [+Y]","Stair10 door 1 [-Y]","Stair10 door 2","Stair10 door 2 width(m)","Stair10 door 2 total boundary(m)","Stair10 door 2 [+Y]","Stair10 door 2 [-Y]","Stair11 door 1","Stair11 door 1 width(m)","Stair11 door 1 total boundary(m)","Stair11 door 1 [+Y]","Stair11 door 1 [-Y]","Stair11 door 2","Stair11 door 2 width(m)","Stair11 door 2 total boundary(m)","Stair11 door 2 [+Y]","Stair11 door 2 [-Y]"
0.0000,55,0,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
1.0000,55,0,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
2.0000,55,0,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
3.0000,54,1,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
4.0000,54,1,0,0.813,0.000,0,0,0,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
5.0000,53,2,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,1,0.813,0.000,0,1,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
6.0000,52,3,0,0.813,0.000,0,0,1,0.813,0.000,0,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
7.0000,50,5,0,0.813,0.000,0,0,1,0.813,0.000,1,0.813,0.000,1,0.813,0.000,0,1,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,1,1.219,0.000,1,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0
8.0000,49,6,0,0.813,0.000,0,0,0,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,0,0.813,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
9.0000,46,9,0,0.813,0.000,0,0,2,0.813,0.000,1,0.813,0.000,0,0.813,0.000,0,0,1,0.813,0.000,0,1,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1,1,1.219,0.000,1,0,1,1.219,0.000,1,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,0,1.219,0.000,0,0,1,1.219,0.000,0,1
