"id","name","exit time(s)","active time(s)","jam time total(s)","jam time max continuous(s)","level jam time","stair jam time","ramp jam time","start time(s)","finish time(s)","distance (m)","num attractors used","attractor time(s)","num occ targets used","occ target time(s)","last_goal_started time(s)"
0,"00001",50.600,50.600,2.550,0.675,2.550,0.000,0.000,0.000,50.600,30.217,0,0.000,0,0.000,0.000
1,"00002",66.650,66.650,5.800,1.300,4.100,1.700,0.000,0.000,66.650,29.477,0,0.000,0,0.000,0.000
2,"00003",84.325,84.325,11.225,3.625,10.950,0.275,0.000,0.000,84.325,30.414,0,0.000,0,0.000,0.000
3,"00004",58.375,58.375,4.500,1.325,4.025,0.475,0.000,0.000,58.375,33.998,0,0.000,0,0.000,0.000
4,"00005",78.750,78.750,11.750,2.400,8.925,2.825,0.000,0.000,78.750,31.639,0,0.000,0,0.000,0.000
5,"00006",60.300,60.300,3.400,0.575,0.775,2.625,0.000,0.000,60.300,29.691,0,0.000,0,0.000,0.000
6,"00007",63.050,63.050,5.600,0.675,4.550,1.050,0.000,0.000,63.050,33.428,0,0.000,0,0.000,0.000
7,"00008",39.700,39.700,2.200,0.475,2.200,0.000,0.000,0.000,39.700,28.516,0,0.000,0,0.000,0.000
8,"00009",30.350,30.350,0.450,0.250,0.450,0.000,0.000,0.000,30.350,27.339,0,0.000,0,0.000,0.000
9,"00010",68.000,68.000,7.175,1.125,6.475,0.700,0.000,0.000,68.000,37.041,0,0.000,0,0.000,0.000
10,"00011",27.100,27.100,0.275,0.275,0.275,0.000,0.000,0.000,27.100,23.947,0,0.000,0,0.000,0.000
11,"00012",75.950,75.950,7.800,1.300,6.750,1.050,0.000,0.000,75.950,37.363,0,0.000,0,0.000,0.000
12,"00013",45.600,45.600,2.750,0.875,2.750,0.000,0.000,0.000,45.600,24.888,0,0.000,0,0.000,0.000
13,"00014",70.275,70.275,7.950,0.900,3.175,4.775,0.000,0.000,70.275,32.291,0,0.000,0,0.000,0.000
14,"00015",49.350,49.350,7.550,3.800,7.175,0.375,0.000,0.000,49.350,33.080,0,0.000,0,0.000,0.000
15,"00016",87.525,87.525,11.275,1.925,9.050,2.225,0.000,0.000,87.525,32.462,0,0.000,0,0.000,0.000
16,"00017",34.525,34.525,0.300,0.300,0.300,0.000,0.000,0.000,34.525,26.270,0,0.000,0,0.000,0.000
17,"00018",64.325,64.325,6.625,1.475,5.625,1.000,0.000,0.000,64.325,33.581,0,0.000,0,0.000,0.000
18,"00019",55.350,55.350,4.950,1.525,4.825,0.125,0.000,0.000,55.350,32.209,0,0.000,0,0.000,0.000
19,"00020",61.550,61.550,7.700,1.400,6.475,1.225,0.000,0.000,61.550,32.564,0,0.000,0,0.000,0.000
20,"00021",48.250,48.250,0.925,0.500,0.925,0.000,0.000,0.000,48.250,25.831,0,0.000,0,0.000,0.000
21,"00022",57.050,57.050,5.250,1.250,4.725,0.525,0.000,0.000,57.050,30.879,0,0.000,0,0.000,0.000
22,"00023",28.525,28.525,0.250,0.250,0.250,0.000,0.000,0.000,28.525,25.638,0,0.000,0,0.000,0.000
23,"00024",52.575,52.575,1.075,0.350,0.800,0.275,0.000,0.000,52.575,27.430,0,0.000,0,0.000,0.000
24,"00025",54.475,54.475,2.325,0.975,1.925,0.400,0.000,0.000,54.475,28.950,0,0.000,0,0.000,0.000
25,"00026",72.025,72.025,7.075,2.800,3.850,3.225,0.000,0.000,72.025,35.621,0,0.000,0,0.000,0.000
26,"00027",74.325,74.325,6.750,1.025,4.700,2.050,0.000,0.000,74.325,34.249,0,0.000,0,0.000,0.000
27,"00028",47.125,47.125,3.150,0.700,1.925,1.225,0.000,0.000,47.125,23.793,0,0.000,0,0.000,0.000
28,"00029",13.250,13.250,0.275,0.275,0.275,0.000,0.000,0.000,13.250,11.086,0,0.000,0,0.000,0.000
29,"00030",44.225,44.225,2.450,1.000,2.450,0.000,0.000,0.000,44.225,17.912,0,0.000,0,0.000,0.000
30,"00031",22.075,22.075,0.450,0.450,0.450,0.000,0.000,0.000,22.075,11.857,0,0.000,0,0.000,0.000
