"id","name","start time(s)","profile","behavior","maxVel(m/s)","shape","occupantRadius(m)","geometryRadius(m)","height(m)","room","x(m)","y(m)","z(m)","speedInSmoke(m/s)","ACCEL_TIME(s)","MIN_SQUEEZE_FACTOR_CONST","OCCMODEL","PRIORITY_LEVEL","PERSIST_TIME(s)","COLLISION_RESPONSE_TIME(s)","PROP_SPACING(m)","PROP_SOCIAL_DIST(m)","SLOW_FACTOR","BOUNDARY_LAYER(cm)","OBEY_ONEWAY_DOORS","ESCALATOR_PREF","LOCAL_QUEUE_TIME_FACTOR","LOCAL_TRAVEL_TIME_FACTOR","TAIL_TIME_FACTOR","CURR_DOOR_PREF(%)","DIST_TRAVELLED_DOUBLE_DIST(m)","REQUIRES_ASSISTANCE","INIT_ORIENT(°)","ELEVATOR_WAIT_TIME(s)","ATTRACTOR_SUSCEPTIBILITY","ATTRACTOR_SUSCEPTIBILITY_IDLE"
0,"00001",0.000000,"Default","Behavior01",1.158607,"Cylinder",0.212618,0.212618,2.068645,"Floor 0.0 ft->Room44",6.058354,33.401922,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0011",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,326.858976,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
1,"00002",0.000000,"Default","Behavior01",1.071436,"Cylinder",0.216340,0.216340,1.873457,"Floor 0.0 ft->Room44",2.698792,33.826842,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BWom0002",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,16.799955,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
2,"00003",0.000000,"Default","Behavior01",0.987330,"Cylinder",0.227294,0.227294,1.769691,"Floor 0.0 ft->Room44",5.655117,35.293707,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0019",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,342.552101,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
3,"00004",0.000000,"Default","Behavior01",1.203172,"Cylinder",0.214994,0.214994,1.969547,"Floor 0.0 ft->Room44",1.812442,28.738379,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,76.188779,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
4,"00005",0.000000,"Default","Behavior01",0.997716,"Cylinder",0.231284,0.231284,1.957075,"Floor 0.0 ft->Room44",8.046219,34.255358,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0003",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,11.736136,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
5,"00006",0.000000,"Default","Behavior01",1.546543,"Cylinder",0.234400,0.234400,1.762285,"Floor 0.0 ft->Room44",10.475673,34.834332,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0018",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,350.314993,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
6,"00007",0.000000,"Default","Behavior01",1.658866,"Cylinder",0.203808,0.203808,1.732803,"Floor 0.0 ft->Room44",10.270779,32.984650,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0019",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,345.611643,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
7,"00008",0.000000,"Default","Behavior01",1.545734,"Cylinder",0.217327,0.217327,1.976695,"Floor 0.0 ft->Room44",0.999793,32.091030,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CWom0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,353.216239,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
8,"00009",0.000000,"Default","Behavior01",0.759679,"Cylinder",0.224248,0.224248,2.051862,"Floor 0.0 ft->Room44",7.538207,35.580834,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"BMan0003",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,221.762022,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
9,"00010",0.000000,"Default","Behavior01",1.557790,"Cylinder",0.217583,0.217583,1.952176,"Floor 0.0 ft->Room44",1.784425,31.123579,0.000000,"SpeedInSmokeSim [mode=FRIDOLF, customFuncVisThreshold=3.0 m, customFuncVisType=AS_GIVEN, customFuncVis=inferno.data2.value.PiecewiseFunction1d@d4621e01]",1.100000,0.700000,"CMan0001",0,1.000000,1.500000,0.080000,,0.100000,15.000001,1,"STAND_ANYWHERE",1.000000,1.000000,1.000000,35.000000,35.000000,0,27.274233,0.000000,"Default=0.0, values={}","Default=0.0, values={}"
