"id","name","exit time(s)","active time(s)","jam time total(s)","jam time max continuous(s)","level jam time","stair jam time","ramp jam time","start time(s)","finish time(s)","distance (m)","num attractors used","attractor time(s)","num occ targets used","occ target time(s)","last_goal_started time(s)"
0,"00001",32.225,32.225,0.550,0.250,0.550,0.000,0.000,0.000,32.225,34.027,0,0.000,0,0.000,0.000
1,"00002",37.600,37.600,0.375,0.275,0.375,0.000,0.000,0.000,37.600,36.106,0,0.000,0,0.000,0.000
2,"00003",31.150,31.150,0.275,0.275,0.275,0.000,0.000,0.000,31.150,29.808,0,0.000,0,0.000,0.000
3,"00004",37.900,37.900,0.325,0.250,0.325,0.000,0.000,0.000,37.900,40.935,0,0.000,0,0.000,0.000
4,"00005",40.250,40.250,0.325,0.300,0.325,0.000,0.000,0.000,40.250,34.442,0,0.000,0,0.000,0.000
5,"00006",24.375,24.375,0.200,0.200,0.200,0.000,0.000,0.000,24.375,33.520,0,0.000,0,0.000,0.000
6,"00007",19.575,19.575,0.175,0.175,0.175,0.000,0.000,0.000,19.575,30.990,0,0.000,0,0.000,0.000
7,"00008",31.250,31.250,0.225,0.200,0.225,0.000,0.000,0.000,31.250,42.142,0,0.000,0,0.000,0.000
8,"00009",42.650,42.650,0.400,0.375,0.400,0.000,0.000,0.000,42.650,30.881,0,0.000,0,0.000,0.000
9,"00010",29.525,29.525,0.775,0.250,0.775,0.000,0.000,0.000,29.525,39.801,0,0.000,0,0.000,0.000
10,"00011",39.500,39.500,0.350,0.350,0.350,0.000,0.000,0.000,39.500,30.961,0,0.000,0,0.000,0.000
11,"00012",27.600,27.600,0.250,0.250,0.250,0.000,0.000,0.000,27.600,29.661,0,0.000,0,0.000,0.000
12,"00013",15.800,15.800,0.200,0.200,0.200,0.000,0.000,0.000,15.800,23.536,0,0.000,0,0.000,0.000
13,"00014",48.550,48.550,0.575,0.575,0.575,0.000,0.000,0.000,48.550,22.886,0,0.000,0,0.000,0.000
14,"00015",23.425,23.425,0.200,0.200,0.200,0.000,0.000,0.000,23.425,29.983,0,0.000,0,0.000,0.000
