"time(s)","Remaining (Total)","Exited (Total)","Floor 0.0 ft->Room02","Floor 0.0 ft->Room04","Floor 0.0 ft->Room04_1","Floor 0.0 ft->Room04_1","Floor 0.0 ft->Room04_1_1","Floor 0.0 ft->Room05","Floor 0.0 ft->Room05_1","Floor 0.0 ft->Room05_1","Floor 0.0 ft->Room05_1_1","Floor 0.0 ft->Room05_1_1","Floor 0.0 ft->Room05_1_1_1","Floor 0.0 ft->Room08","Floor 0.0 ft->Room08_1","Floor 0.0 ft->Room08_1","Floor 0.0 ft->Room08_1_1","Floor 0.0 ft->Room08_1_1","Floor 0.0 ft->Room08_1_1_1","Floor 0.0 ft->Room12","Floor 0.0 ft->Room13","Floor 0.0 ft->Room14","Floor 0.0 ft->Room15","Floor 0.0 ft->Room16","Floor 0.0 ft->Room17","Floor 0.0 ft->Room18","Floor 0.0 ft->Room19","Floor 0.0 ft->Room20","Floor 0.0 ft->Room21","Floor 0.0 ft->Room22","Floor 0.0 ft->Room23","Floor 0.0 ft->Room24","Floor 0.0 ft->Room25","Floor 0.0 ft->Room26","Floor 0.0 ft->Room27","Floor 0.0 ft->Room28","Floor 0.0 ft->Room29","Floor 0.0 ft->Room30","Floor 0.0 ft->Room31","Floor 0.0 ft->Room32","Floor 0.0 ft->Room33","Floor 0.0 ft->Room34","Floor 0.0 ft->Room35","Floor 0.0 ft->Room44","Floor 0.0 ft->Room45","Floor 0.0 ft->Room46","Floor 0.0 ft->Stair01","Floor 0.0 ft->Stair02","Floor 0.0 ft->Stair05","Floor 0.0 ft->Stair06","Floor 0.0 ft->Stair09_1","Floor 19.685039 ft->Room02_2","Floor 19.685039 ft->Room04_1_2","Floor 19.685039 ft->Room04_2","Floor 19.685039 ft->Room05_1_1_1_2","Floor 19.685039 ft->Room05_1_1_2","Floor 19.685039 ft->Room05_1_1_2","Floor 19.685039 ft->Room05_1_2","Floor 19.685039 ft->Room05_1_2","Floor 19.685039 ft->Room05_2","Floor 19.685039 ft->Room08_1_1_1_2","Floor 19.685039 ft->Room08_1_1_2","Floor 19.685039 ft->Room08_1_1_2","Floor 19.685039 ft->Room08_1_2","Floor 19.685039 ft->Room08_1_2","Floor 19.685039 ft->Room08_2","Floor 19.685039 ft->Room12_2","Floor 19.685039 ft->Room13_2","Floor 19.685039 ft->Room14_2","Floor 19.685039 ft->Room15_2","Floor 19.685039 ft->Room16_2","Floor 19.685039 ft->Room17_2","Floor 19.685039 ft->Room18_2","Floor 19.685039 ft->Room19_2","Floor 19.685039 ft->Room20_2","Floor 19.685039 ft->Room21_2","Floor 19.685039 ft->Room22_2","Floor 19.685039 ft->Room23_2","Floor 19.685039 ft->Room24_2","Floor 19.685039 ft->Room25_2","Floor 19.685039 ft->Room26_2","Floor 19.685039 ft->Room27_2","Floor 19.685039 ft->Room28_2","Floor 19.685039 ft->Room29_2","Floor 19.685039 ft->Room30_2","Floor 19.685039 ft->Room31_2","Floor 19.685039 ft->Room32_2","Floor 19.685039 ft->Room33_2","Floor 19.685039 ft->Room34_2","Floor 19.685039 ft->Room35_2","Floor 19.685039 ft->Room44_2","Floor 19.685039 ft->Room45_2","Floor 19.685039 ft->Room46_2","Floor 19.685039 ft->Room48","Floor 19.685039 ft->Room48_1","Floor 19.685039 ft->Room48_1","Floor 19.685039 ft->Room48_1_1","Floor 9.84252 ft->Room02_1","Floor 9.84252 ft->Room04_1","Floor 9.84252 ft->Room04_1_1","Floor 9.84252 ft->Room04_1_1","Floor 9.84252 ft->Room04_1_1_1","Floor 9.84252 ft->Room05_1","Floor 9.84252 ft->Room05_1_1","Floor 9.84252 ft->Room05_1_1","Floor 9.84252 ft->Room05_1_1_1","Floor 9.84252 ft->Room05_1_1_1","Floor 9.84252 ft->Room05_1_1_1_1","Floor 9.84252 ft->Room08_1","Floor 9.84252 ft->Room08_1_1","Floor 9.84252 ft->Room08_1_1","Floor 9.84252 ft->Room08_1_1_1","Floor 9.84252 ft->Room08_1_1_1","Floor 9.84252 ft->Room08_1_1_1_1","Floor 9.84252 ft->Room12_1","Floor 9.84252 ft->Room13_1","Floor 9.84252 ft->Room14_1","Floor 9.84252 ft->Room15_1","Floor 9.84252 ft->Room16_1","Floor 9.84252 ft->Room17_1","Floor 9.84252 ft->Room18_1","Floor 9.84252 ft->Room19_1","Floor 9.84252 ft->Room20_1","Floor 9.84252 ft->Room21_1","Floor 9.84252 ft->Room22_1","Floor 9.84252 ft->Room23_1","Floor 9.84252 ft->Room24_1","Floor 9.84252 ft->Room25_1","Floor 9.84252 ft->Room26_1","Floor 9.84252 ft->Room27_1","Floor 9.84252 ft->Room28_1","Floor 9.84252 ft->Room29_1","Floor 9.84252 ft->Room30_1","Floor 9.84252 ft->Room31_1","Floor 9.84252 ft->Room32_1","Floor 9.84252 ft->Room33_1","Floor 9.84252 ft->Room34_1","Floor 9.84252 ft->Room35_1","Floor 9.84252 ft->Room44_1","Floor 9.84252 ft->Room45_1","Floor 9.84252 ft->Room46_1","Floor 9.84252 ft->Stair03","Floor 9.84252 ft->Stair04","Floor 9.84252 ft->Stair07","Floor 9.84252 ft->Stair08","Floor 9.84252 ft->Stair09"
0.00,205,0,0,0,0,0,0,2,0,2,1,2,2,0,0,0,1,0,1,0,0,2,2,1,1,0,2,2,0,2,0,0,0,0,0,2,0,1,2,0,0,0,2,10,0,0,0,0,0,0,0,31,0,0,2,1,2,0,1,2,1,0,1,0,0,0,0,0,2,1,1,1,0,2,2,0,2,0,0,2,0,2,2,0,1,2,0,0,0,2,15,0,0,0,0,0,0,20,0,0,0,0,4,0,2,1,2,2,0,1,0,1,0,1,0,2,2,2,1,1,0,0,0,0,4,0,0,2,0,1,2,0,1,2,0,2,0,4,27,0,0,0,0,0,0,0
1.00,205,0,0,0,0,0,0,2,0,2,1,2,2,0,0,0,1,0,1,0,0,2,2,1,1,0,2,2,0,2,0,0,0,0,0,2,0,1,2,0,0,0,2,10,0,0,0,0,0,0,0,31,0,0,2,1,2,0,1,2,1,0,1,0,0,0,0,0,2,1,1,1,0,2,2,0,2,0,0,2,0,2,2,0,1,2,0,0,0,2,15,0,0,0,0,0,0,20,0,0,0,0,4,0,2,1,2,2,0,1,0,1,0,1,0,2,2,2,1,1,0,0,0,0,4,0,0,2,0,1,2,0,1,2,0,2,0,4,27,0,0,0,0,0,0,0
2.00,205,0,2,0,0,0,0,2,0,2,1,2,1,0,0,0,1,0,1,0,0,2,2,1,1,0,2,2,0,2,0,0,0,0,0,2,0,2,2,0,0,0,2,8,0,0,0,0,0,0,0,31,1,0,2,1,2,0,1,2,1,0,1,0,0,0,0,0,2,1,1,1,0,2,2,0,2,0,0,2,0,2,2,0,1,2,0,0,0,2,14,0,0,0,0,0,0,20,0,0,0,0,4,0,2,1,2,1,0,1,1,1,0,1,0,2,2,2,0,2,0,0,0,0,3,0,0,2,0,1,2,0,2,2,0,2,0,4,27,0,0,0,0,0,0,0
3.00,205,0,4,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,1,0,0,2,1,1,1,0,2,2,0,1,0,0,0,0,0,2,0,3,2,0,1,0,3,8,0,0,0,0,0,0,0,35,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,0,2,0,1,1,0,2,3,0,0,2,0,1,0,2,14,0,0,0,0,0,0,24,0,0,0,0,3,0,1,1,1,1,0,1,1,0,0,1,0,2,2,2,0,2,0,0,0,0,3,0,1,1,1,1,1,0,1,2,0,3,1,4,26,0,0,0,0,0,1,0
4.00,205,0,10,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,2,0,2,2,0,1,0,0,0,0,0,1,0,3,1,0,1,1,2,6,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,0,2,0,1,0,0,1,0,1,3,0,1,1,0,2,0,3,13,0,0,0,0,0,0,30,0,0,0,0,3,0,1,1,0,0,0,0,2,0,0,0,0,2,1,2,0,2,0,0,0,0,2,0,1,1,1,1,2,0,2,1,0,3,2,3,24,0,0,0,0,0,1,1
5.00,205,0,11,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,2,0,2,2,0,1,0,0,0,0,0,1,0,3,1,0,1,1,3,5,0,0,0,0,0,0,0,43,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1,0,1,2,0,1,0,0,2,0,3,11,0,0,0,0,0,0,35,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0,1,1,1,1,2,0,2,1,0,3,2,4,22,0,0,0,0,0,1,2
6.00,205,0,12,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,2,2,0,1,1,0,0,0,0,2,0,3,0,0,2,2,2,4,0,0,0,0,0,1,0,43,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,2,0,1,0,0,1,0,1,2,0,1,0,0,2,1,2,11,0,0,0,0,0,0,38,1,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,1,1,1,1,2,0,1,1,0,2,1,4,21,0,0,0,1,0,1,2
7.00,205,0,16,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,1,0,1,2,0,1,1,0,0,0,0,1,0,2,0,0,2,1,2,4,0,0,0,1,0,1,2,40,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,0,1,1,0,2,0,0,2,1,2,10,0,0,0,0,0,0,40,1,1,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,4,20,0,0,0,1,0,1,5
8.00,205,0,19,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,2,3,0,0,0,1,0,2,2,42,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,0,1,0,0,2,0,0,1,2,1,9,0,0,0,0,0,0,43,2,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,1,0,0,0,4,19,0,0,0,2,0,1,6
9.00,205,0,21,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,2,2,0,0,0,2,0,2,3,41,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,1,2,1,8,0,0,0,0,0,0,44,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0,4,18,0,0,0,2,0,2,8
